,eukulele_taxonomy,mmseqs_taxonomy,total_length,total_num_contigs,total_length_5kb,total_length_10kb,total_length_50kb,GC_percent,N50,L50,num_predicted_proteins,num_proteins_annotated_pfam,proportion_proteins_annoated_pfam,num_unique_pfam,num_proteins_annotated_kegg,proportion_proteins_annoated_kegg,num_unique_kegg,busco_eukaryota_odb10_completeness,busco_eukaryota_odb10_contamination,eukcc_completeness,eukcc_contamination,eukcc_lineage,ocean_region,depth,size_fraction
TOPAZ_RSS3_E001,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,2983363,764,856677,125755,0,55.62,3878,275,1192,752,63.09,457,491,41.19,825,14.51,0.0,7.41,0.0,Eukaryota_Metazoa,RS,SRF,20-180
TOPAZ_RSS3_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,12724159,3289,3449432,424568,0,46.66,3826,1187,5406,2573,47.6,1045,1191,22.03,1694,28.24,0.39,26.46,0.53,Eukaryota,RS,SRF,20-180
TOPAZ_RSS3_E003,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,44386461,13119,5512772,475949,0,35.15,3240,5205,15527,4039,26.01,766,1116,7.19,1605,20.78,0.0,,,,RS,SRF,20-180
TOPAZ_RSS3_E004,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,28536841,8123,4537536,243895,0,40.0,3410,3159,9233,2655,28.76,531,688,7.45,1288,17.65,0.0,13.6,1.59,Eukaryota_Fungi_Ascomycota,RS,SRF,20-180
TOPAZ_RSS3_E005,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,17965886,5180,2702346,216452,0,43.28,3333,2008,7370,2371,32.17,793,924,12.54,1385,25.49,0.0,,,,RS,SRF,20-180
TOPAZ_RSS3_E006,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,8069216,2490,598804,16490,0,34.13,3104,1026,3661,1426,38.95,537,607,16.58,1096,14.9,0.0,11.9,0.11,Eukaryota_Metazoa,RS,SRF,20-180
TOPAZ_RSS3_E007,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,35201072,8644,11494463,2248005,0,40.34,4006,2968,13973,6613,47.33,2115,2805,20.07,2832,48.24,0.39,48.14,9.56,Eukaryota_Fungi_Ascomycota,RS,SRF,20-180
TOPAZ_RSS3_E008,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,10544548,2890,2128890,282690,0,38.89,3522,1086,4709,1104,23.44,129,172,3.65,498,1.96,0.0,,,,RS,SRF,20-180
TOPAZ_RSS3_E009,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,13843053,4072,1795176,135245,0,37.04,3264,1615,5924,2058,34.74,548,659,11.12,1161,10.59,0.39,,,,RS,SRF,20-180
TOPAZ_RSS3_E010,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,32312791,8905,6515859,576786,0,39.66,3516,3358,12610,5581,44.26,1625,2175,17.25,2452,33.73,1.18,37.5,8.33,Eukaryota_Fungi_Microsporidia,RS,SRF,20-180
TOPAZ_SAD1_E001,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Isochrysidales;Noelaerhabdaceae;Emiliania huxleyi,27415302,7327,6443928,685295,0,66.47,3654,2706,12296,5298,43.09,1034,1472,11.97,2158,25.88,0.78,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E002,Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;Gymnodiniales;Kareniaceae;-,7772364,2003,2159625,309090,0,47.9,3781,715,2659,636,23.92,47,117,4.4,302,1.18,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E003,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Phaeocystales;Phaeocystaceae;Phaeocystis antarctica,70309975,15695,30882796,6580336,0,68.21,4584,5069,35540,14030,39.48,2053,3733,10.5,3348,59.22,1.18,65.22,0.0,Eukaryota_Fungi_Ascomycota,SAO,DCM,0.8-5
TOPAZ_SAD1_E004,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,24193571,5492,10184423,2295918,0,62.02,4455,1785,10691,3835,35.87,940,1209,11.31,1829,26.67,0.39,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E005,Eukaryota;Stramenopiles;-;-;-;-;-;-,Eukaryota;-;Sar;-;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriaceae;-,5715805,1125,3176911,828688,0,47.63,5420,353,3119,1590,50.98,685,734,23.53,1275,21.96,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E006,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas sp.,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,18195744,1450,16712109,13793205,1615293,65.81,18508,290,9586,6047,63.08,2591,3292,34.34,3200,80.78,0.78,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E007,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;-;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Bacillariophyceae;-;Naviculales;-;-,65699918,11198,43243358,18671216,129343,45.97,6560,3029,29850,14462,48.45,2835,5624,18.84,4005,84.71,21.57,100.0,38.46,Eukaryota,SAO,DCM,0.8-5
TOPAZ_SAD1_E008,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,10579327,1874,6815352,2877373,0,68.81,6483,514,5207,2278,43.75,551,784,15.06,1282,14.9,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E009,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,11466796,1962,7609648,2919970,0,48.6,6544,557,6363,4007,62.97,1950,2331,36.63,2550,62.75,0.78,73.5,3.85,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,SAO,DCM,0.8-5
TOPAZ_SAD1_E010,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;-;-,Eukaryota;-;Sar;-;Pelagophyceae;-;Pelagomonadales;-;Aureococcus anophagefferens,25011711,5051,13660370,3573117,0,71.55,5307,1560,17474,7582,43.39,1808,2539,14.53,2812,60.39,0.0,69.23,5.13,Eukaryota_Pelagophyceae_Pelagomonadales_Aureococcus_Aureococcus.anophagefferens,SAO,DCM,0.8-5
TOPAZ_SAD1_E011,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,245607316,55911,101712045,21091870,50397,60.98,4453,18369,106421,46104,43.32,3241,12549,11.79,4495,87.45,26.67,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E012,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,11006609,2324,5364074,848900,0,47.33,4919,795,4899,2710,55.32,980,1168,23.84,1653,31.37,0.0,25.59,1.35,Eukaryota_Fungi_Ascomycota,SAO,DCM,0.8-5
TOPAZ_SAD1_E013,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,10593160,2048,5956320,1825429,0,48.0,5547,623,5836,3672,62.92,1800,2132,36.53,2434,56.86,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E014,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina rotalis,38249927,8968,14874038,2484569,0,65.66,4301,3004,21600,9678,44.81,1836,2836,13.13,2975,52.16,1.57,57.58,18.18,Eukaryota_Apicomplexa_Conoidasida_Eucoccidiorida,SAO,DCM,0.8-5
TOPAZ_SAD1_E015,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,2621778,730,471203,84097,0,36.57,3457,277,1551,629,40.55,168,188,12.12,525,6.27,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E016,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,11669075,2759,4590939,582989,0,67.7,4296,936,6673,3465,51.93,1328,1559,23.36,2108,45.49,1.57,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E017,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,63331299,11046,39787085,18438419,113104,55.06,6409,2877,29784,12747,42.8,2574,4672,15.69,3570,78.04,9.02,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E018,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',11839251,989,10886937,8721897,603375,60.71,17181,215,7355,4887,66.44,2412,2910,39.56,2976,81.57,0.39,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E019,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Coscinodiscophyceae;Coscinodiscophycidae;Melosirales;Stephanopyxidaceae;Stephanopyxis turris,7555353,2055,1575540,81522,0,39.14,3620,780,3394,1446,42.6,436,511,15.06,1005,18.43,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E020,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,6311576,850,4919890,2924053,0,48.88,9155,200,2929,1665,56.85,660,748,25.54,1213,24.31,0.39,11.11,0.0,Eukaryota_Apicomplexa_Conoidasida_Eucoccidiorida,SAO,DCM,0.8-5
TOPAZ_SAD1_E021,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus;Aureococcus anophagefferens,Eukaryota;-;Sar;-;Pelagophyceae;-;Pelagomonadales;-;Aureococcus anophagefferens,2795689,420,2088727,971009,0,52.48,7602,113,1052,505,48.0,158,257,24.43,333,6.67,2.75,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E022,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,40298814,4880,33090980,21927859,707239,45.37,10856,1124,18480,9040,48.92,2662,3736,20.22,3470,82.75,2.75,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E023,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,41240519,5407,31564819,21612934,1227300,69.02,10570,1079,23327,13857,59.4,2753,6987,29.95,3415,87.45,53.73,96.49,73.68,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,SAO,DCM,0.8-5
TOPAZ_SAD1_E024,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,24678205,4825,13357493,6040008,75953,64.4,5390,1279,9224,4403,47.73,1161,1527,16.55,2129,44.71,0.78,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E025,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Chromulinaceae;Paraphysomonas bandaiensis,15311467,2140,11898953,6619547,53929,47.41,8813,544,7928,4197,52.94,1650,1990,25.1,2343,62.75,3.14,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E026,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;-,15584437,705,15202623,14153381,5322804,60.9,34341,136,8636,5989,69.35,2893,3507,40.61,3412,90.98,0.0,100.0,0.0,Eukaryota,SAO,DCM,0.8-5
TOPAZ_SAD1_E027,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,52459685,9690,31563520,11886503,0,58.18,5902,2739,23539,10043,42.67,2369,3640,15.46,3212,69.8,1.96,76.36,23.64,Eukaryota_Fungi_Microsporidia,SAO,DCM,0.8-5
TOPAZ_SAD1_E028,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;-;-,Eukaryota;-;Sar;-;Pelagophyceae;-;Pelagomonadales;-;Aureococcus anophagefferens,3292628,635,1898116,629754,0,51.98,5769,188,1297,555,42.79,161,256,19.74,367,6.67,1.96,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E029,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,17681837,3112,11140912,4713883,50932,54.25,6405,843,5106,1875,36.72,176,283,5.54,680,6.67,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E030,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Mediophyceae;Cymatosirophycidae;Cymatosirales;Cymatosiraceae;Extubocellulus spinifer,25369477,1517,24402067,21327977,4587421,54.93,25000,298,11555,6668,57.71,2394,3136,27.14,3121,83.14,0.39,92.31,5.13,Eukaryota_Bacillariophyta,SAO,DCM,0.8-5
TOPAZ_SAD1_E031,Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;Gymnodiniales;Kareniaceae;-,3794625,1169,379652,0,0,42.86,3095,477,705,80,11.35,13,16,2.27,78,0.39,0.0,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E032,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,23396836,4274,14189760,5788497,0,60.18,6051,1174,8356,4288,51.32,982,1340,16.04,1916,36.47,1.57,36.36,3.09,Eukaryota_Fungi_Ascomycota,SAO,DCM,0.8-5
TOPAZ_SAD1_E033,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,56335153,7749,42554708,27057368,563289,61.42,9554,1693,26529,12598,47.49,2435,4289,16.17,3430,73.73,1.57,73.08,20.51,Eukaryota,SAO,DCM,0.8-5
TOPAZ_SAD1_E034,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,114597965,17142,82152378,46461169,987593,54.46,8146,4015,44701,15002,33.56,2509,4274,9.56,3634,80.78,4.71,86.84,26.32,Eukaryota_Apicomplexa_Conoidasida,SAO,DCM,0.8-5
TOPAZ_SAD1_E035,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;-;-,10956111,2496,4573278,696101,0,59.13,4528,847,7141,4149,58.1,1879,2183,30.57,2594,64.31,0.39,66.67,5.26,Eukaryota,SAO,DCM,0.8-5
TOPAZ_SAD1_E036,Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinoderma;Prasinoderma singularis,Eukaryota;Viridiplantae;-;Chlorophyta;Palmophyllophyceae;-;Prasinococcales;Prasinococcaceae;Prasinoderma singulare,26642286,4024,19596259,9719513,0,68.72,7881,1043,11977,6904,57.64,2702,3388,28.29,3473,86.27,0.39,87.61,3.42,Eukaryota,SAO,DCM,0.8-5
TOPAZ_SAD1_E037,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,16022477,2648,10588609,4813753,139813,70.3,6946,680,8980,5283,58.83,2222,2735,30.46,2910,68.63,0.0,82.46,3.51,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,SAO,DCM,0.8-5
TOPAZ_SAD1_E038,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;Pseudoscourfieldiales;Pycnococcaceae;Pycnococcus;Pycnococcus provasolii,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;Pycnococcus provasolii,24167252,3971,16480935,7151791,60274,57.82,6824,1081,13051,6508,49.87,2373,2988,22.89,3233,74.12,0.78,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E039,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,10031989,2499,3123497,442613,0,55.34,3979,881,4462,1764,39.53,415,527,11.81,1054,16.08,0.0,10.42,0.83,Eukaryota_Apicomplexa_Aconoidasida,SAO,DCM,0.8-5
TOPAZ_SAD1_E040,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus lucimarinus,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',12096664,388,11998321,11524755,5797982,60.93,46758,80,7195,5006,69.58,2510,3042,42.28,3040,81.18,0.78,,,,SAO,DCM,0.8-5
TOPAZ_SAD1_E041,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,46291404,7495,32177685,14343109,256210,45.66,7106,1996,18260,9160,50.16,2309,3274,17.93,3242,76.08,1.57,84.21,3.51,Eukaryota,SAO,DCM,0.8-5
TOPAZ_SAD1_E042,Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;Gonyaulacales;-;-,197236886,30069,139670694,77975584,1540951,57.48,7909,7054,46753,12210,26.12,1451,2499,5.35,2985,50.59,0.78,69.72,36.7,Eukaryota,SAO,DCM,0.8-5
TOPAZ_SAD1_E043,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,40761055,7838,23045788,9395799,0,64.76,5664,2138,22733,10485,46.12,2258,3513,15.45,3290,62.35,0.0,69.57,8.7,Eukaryota_Fungi_Ascomycota,SAO,DCM,0.8-5
TOPAZ_SAD1_E044,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Phaeocystales;Phaeocystaceae;Phaeocystis antarctica,24527682,6631,5230558,532258,0,64.61,3603,2491,14166,4899,34.58,749,1055,7.45,1872,18.82,0.39,25.45,1.82,Eukaryota_Fungi_Microsporidia,SAO,DCM,0.8-5
TOPAZ_SAD1_E045,Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Pyramimonadophyceae;-;Pyramimonadales;Pyramimonadaceae;Pyramimonas obovata,46753405,8373,29004382,11524694,156835,53.24,5980,2323,17036,7021,41.21,1874,2454,14.4,2925,63.92,1.18,61.4,7.02,Eukaryota_Viridiplantae,SAO,DCM,0.8-5
TOPAZ_SAD1_E046,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dictyochophyceae;-;Pedinellales;-;-,12767882,3389,2896610,307807,0,62.94,3736,1265,6473,2740,42.33,673,804,12.42,1472,20.0,0.0,19.53,2.53,Eukaryota_Fungi_Ascomycota,SAO,DCM,0.8-5
TOPAZ_SAD4_E001,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,9922389,2573,2827071,266572,0,44.96,3787,926,5097,2445,47.97,746,877,17.21,1508,23.53,1.18,,,,SAO,DCM,180-2000
TOPAZ_SAD4_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,6596394,1583,2427605,350593,0,50.89,4237,545,2881,1824,63.31,1088,1196,41.51,1652,34.51,0.39,24.62,0.67,Eukaryota_Metazoa,SAO,DCM,180-2000
TOPAZ_SAD4_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,30170653,7529,9595274,1228849,0,42.92,3961,2645,10978,4554,41.48,1295,1673,15.24,2019,22.35,0.78,23.92,3.03,Eukaryota_Metazoa,SAO,DCM,180-2000
TOPAZ_SAD3_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,46010750,11757,13390084,2606379,0,33.78,3775,4103,16046,6238,38.88,2118,2689,16.76,3001,56.08,0.78,48.41,3.97,Eukaryota,SAO,DCM,20-180
TOPAZ_SAD3_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,11365747,3242,1717129,84233,0,42.84,3411,1268,4431,1853,41.82,548,641,14.47,1088,8.24,0.0,,,,SAO,DCM,20-180
TOPAZ_SAD3_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,7489520,2157,1176510,88951,0,47.51,3334,838,3589,1487,41.43,679,747,20.81,1178,19.22,0.0,,,,SAO,DCM,20-180
TOPAZ_SAD3_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,24097044,6139,7102892,1109117,0,43.19,3813,2158,8265,3145,38.05,952,1145,13.85,1583,20.0,0.0,19.81,0.97,Eukaryota_Metazoa,SAO,DCM,20-180
TOPAZ_SAD3_E005,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,7992651,1859,3085433,660686,0,52.63,4365,619,3313,2028,61.21,1053,1173,35.41,1730,29.02,0.39,24.87,1.06,Eukaryota,SAO,DCM,20-180
TOPAZ_SAD3_E006,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,3544449,1124,209816,21567,0,40.08,3006,472,678,83,12.24,11,13,1.92,60,0.39,0.0,,,,SAO,DCM,20-180
TOPAZ_SAM1_E001,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,5384896,1568,753950,71954,0,36.71,3309,617,3287,1557,47.37,631,679,20.66,1268,21.18,0.39,,,,SAO,MES,0.8-5
TOPAZ_SAM1_E002,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,8102140,1240,6009335,3161943,0,32.42,8225,331,2538,805,31.72,205,233,9.18,580,4.31,0.0,,,,SAO,MES,0.8-5
TOPAZ_SAM1_E003,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;-;-;-;-;-;-;-,7214712,1748,2547218,101532,0,29.45,4231,627,588,48,8.16,9,10,1.7,44,0.0,0.0,,,,SAO,MES,0.8-5
TOPAZ_SAM1_E004,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,3330178,528,2556915,764583,0,32.17,7382,167,1102,247,22.41,63,66,5.99,231,1.18,0.0,,,,SAO,MES,0.8-5
TOPAZ_SAM1_E005,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,3293285,311,3001277,2483360,0,32.47,14979,86,869,280,32.22,93,96,11.05,260,1.57,0.0,0.77,0.0,Eukaryota_Fungi_Ascomycota,SAO,MES,0.8-5
TOPAZ_SAM1_E006,Eukaryota;-;-;-;-;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Leotiomycetes;-;Helotiales;Mollisiaceae;Rhynchosporium commune,39759730,2275,38013121,33943636,9252526,48.69,27745,420,15436,9038,58.55,3051,4489,29.08,3567,91.37,0.0,86.65,1.55,Eukaryota_Fungi_Ascomycota,SAO,MES,0.8-5
TOPAZ_SAM1_E007,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;-,15679631,2626,10541411,4772915,0,27.56,6691,708,9601,5893,61.38,1853,2471,25.74,2672,61.57,1.18,58.62,6.9,Eukaryota,SAO,MES,0.8-5
TOPAZ_SAM1_E008,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,13450810,2949,6376824,644347,0,32.27,4838,1004,4887,1307,26.74,293,337,6.9,775,4.31,0.0,,,,SAO,MES,0.8-5
